,venue_name,id,created_at,text
0,"475                   Nailsense Spa
476               Pedimani Nail Spa
477              Nice Nails and Spa
478                       Nail Teco
479                      Good Nails
480               Favorite Nail Spa
481    Monluxe Nails and Beauty Bar
482           Nice One Madipedi Spa
483    Ananeke Beauty Salon and Spa
484             Classic Nails Salon
485     Toronto Nail Studio and Spa
486           Carnation Nails & Spa
487                Vida Nails & Spa
488                    Planet Nails
489             Hoang Thy Nails Inc
490                   Nails For You
491                Angel Nail & Spa
492             Aritaum Spa & Nails
493              Unique Nails N Spa
494                 The Nail Studio
Name: Venue, dtype: object",5218ea8011d23418834dcdd5,2013-08-24T17:16:48.000Z,"Kim is amazing! My best friend introduced me to this place and I have been coming here since then. Kim is friendly, and the Brazilian is the most pain-free I have ever received. I highly recommend!"
1,"475                   Nailsense Spa
476               Pedimani Nail Spa
477              Nice Nails and Spa
478                       Nail Teco
479                      Good Nails
480               Favorite Nail Spa
481    Monluxe Nails and Beauty Bar
482           Nice One Madipedi Spa
483    Ananeke Beauty Salon and Spa
484             Classic Nails Salon
485     Toronto Nail Studio and Spa
486           Carnation Nails & Spa
487                Vida Nails & Spa
488                    Planet Nails
489             Hoang Thy Nails Inc
490                   Nails For You
491                Angel Nail & Spa
492             Aritaum Spa & Nails
493              Unique Nails N Spa
494                 The Nail Studio
Name: Venue, dtype: object",4f1efcd4e4b03f6d8f0a2112,2012-01-24T18:47:48.000Z,This place is amazing. Everytime I go in they know my name and how I like my nails done (square). And who could go wrong with a $16 manicure! I always recommend this place to my friends :)
2,"475                   Nailsense Spa
476               Pedimani Nail Spa
477              Nice Nails and Spa
478                       Nail Teco
479                      Good Nails
480               Favorite Nail Spa
481    Monluxe Nails and Beauty Bar
482           Nice One Madipedi Spa
483    Ananeke Beauty Salon and Spa
484             Classic Nails Salon
485     Toronto Nail Studio and Spa
486           Carnation Nails & Spa
487                Vida Nails & Spa
488                    Planet Nails
489             Hoang Thy Nails Inc
490                   Nails For You
491                Angel Nail & Spa
492             Aritaum Spa & Nails
493              Unique Nails N Spa
494                 The Nail Studio
Name: Venue, dtype: object",4fabfe0be4b09eda9f48c6b9,2012-05-10T17:42:35.000Z,I like Cozy Nails too but I come here now bc the atmosphere is more calming. And last time Cozy played a jazz concert. I like my chick flicks!  =P
3,"475                   Nailsense Spa
476               Pedimani Nail Spa
477              Nice Nails and Spa
478                       Nail Teco
479                      Good Nails
480               Favorite Nail Spa
481    Monluxe Nails and Beauty Bar
482           Nice One Madipedi Spa
483    Ananeke Beauty Salon and Spa
484             Classic Nails Salon
485     Toronto Nail Studio and Spa
486           Carnation Nails & Spa
487                Vida Nails & Spa
488                    Planet Nails
489             Hoang Thy Nails Inc
490                   Nails For You
491                Angel Nail & Spa
492             Aritaum Spa & Nails
493              Unique Nails N Spa
494                 The Nail Studio
Name: Venue, dtype: object",4cd08c12adf29c7457e57b95,2010-11-02T22:09:22.000Z,very clean and good nail polish selection but atmosphere was interesting.. no one spoke at all! my usual nail place has a livelier atmosphere and that's what makes it special. here it felt like more o
4,"475                   Nailsense Spa
476               Pedimani Nail Spa
477              Nice Nails and Spa
478                       Nail Teco
479                      Good Nails
480               Favorite Nail Spa
481    Monluxe Nails and Beauty Bar
482           Nice One Madipedi Spa
483    Ananeke Beauty Salon and Spa
484             Classic Nails Salon
485     Toronto Nail Studio and Spa
486           Carnation Nails & Spa
487                Vida Nails & Spa
488                    Planet Nails
489             Hoang Thy Nails Inc
490                   Nails For You
491                Angel Nail & Spa
492             Aritaum Spa & Nails
493              Unique Nails N Spa
494                 The Nail Studio
Name: Venue, dtype: object",4fcf7b21e4b08ffd9bb87751,2012-06-06T15:45:37.000Z,Thuy does the best Brazilian wax in the city. Quick and painless & totally professional and clean!
5,"475                   Nailsense Spa
476               Pedimani Nail Spa
477              Nice Nails and Spa
478                       Nail Teco
479                      Good Nails
480               Favorite Nail Spa
481    Monluxe Nails and Beauty Bar
482           Nice One Madipedi Spa
483    Ananeke Beauty Salon and Spa
484             Classic Nails Salon
485     Toronto Nail Studio and Spa
486           Carnation Nails & Spa
487                Vida Nails & Spa
488                    Planet Nails
489             Hoang Thy Nails Inc
490                   Nails For You
491                Angel Nail & Spa
492             Aritaum Spa & Nails
493              Unique Nails N Spa
494                 The Nail Studio
Name: Venue, dtype: object",4c320f566f1fef3b272bec3d,2010-07-05T16:59:02.000Z,Thuy was extremely friendly and professional - her wax job was thorough and painless! Highly recommended.
6,"475                   Nailsense Spa
476               Pedimani Nail Spa
477              Nice Nails and Spa
478                       Nail Teco
479                      Good Nails
480               Favorite Nail Spa
481    Monluxe Nails and Beauty Bar
482           Nice One Madipedi Spa
483    Ananeke Beauty Salon and Spa
484             Classic Nails Salon
485     Toronto Nail Studio and Spa
486           Carnation Nails & Spa
487                Vida Nails & Spa
488                    Planet Nails
489             Hoang Thy Nails Inc
490                   Nails For You
491                Angel Nail & Spa
492             Aritaum Spa & Nails
493              Unique Nails N Spa
494                 The Nail Studio
Name: Venue, dtype: object",4ec1e48f0aaf6450bba0b208,2011-11-15T04:03:27.000Z,cheap mani pedis. clean
7,"475                   Nailsense Spa
476               Pedimani Nail Spa
477              Nice Nails and Spa
478                       Nail Teco
479                      Good Nails
480               Favorite Nail Spa
481    Monluxe Nails and Beauty Bar
482           Nice One Madipedi Spa
483    Ananeke Beauty Salon and Spa
484             Classic Nails Salon
485     Toronto Nail Studio and Spa
486           Carnation Nails & Spa
487                Vida Nails & Spa
488                    Planet Nails
489             Hoang Thy Nails Inc
490                   Nails For You
491                Angel Nail & Spa
492             Aritaum Spa & Nails
493              Unique Nails N Spa
494                 The Nail Studio
Name: Venue, dtype: object",4bf5536770c603bb77419cb4,2010-05-20T15:21:11.000Z,Thuy is fantastic
8,"475                   Nailsense Spa
476               Pedimani Nail Spa
477              Nice Nails and Spa
478                       Nail Teco
479                      Good Nails
480               Favorite Nail Spa
481    Monluxe Nails and Beauty Bar
482           Nice One Madipedi Spa
483    Ananeke Beauty Salon and Spa
484             Classic Nails Salon
485     Toronto Nail Studio and Spa
486           Carnation Nails & Spa
487                Vida Nails & Spa
488                    Planet Nails
489             Hoang Thy Nails Inc
490                   Nails For You
491                Angel Nail & Spa
492             Aritaum Spa & Nails
493              Unique Nails N Spa
494                 The Nail Studio
Name: Venue, dtype: object",5181b06b498efc5a5f060c38,2013-05-02T00:16:43.000Z,These guys know how to treat customers.  Totally an amazing experience every time.
9,"475                   Nailsense Spa
476               Pedimani Nail Spa
477              Nice Nails and Spa
478                       Nail Teco
479                      Good Nails
480               Favorite Nail Spa
481    Monluxe Nails and Beauty Bar
482           Nice One Madipedi Spa
483    Ananeke Beauty Salon and Spa
484             Classic Nails Salon
485     Toronto Nail Studio and Spa
486           Carnation Nails & Spa
487                Vida Nails & Spa
488                    Planet Nails
489             Hoang Thy Nails Inc
490                   Nails For You
491                Angel Nail & Spa
492             Aritaum Spa & Nails
493              Unique Nails N Spa
494                 The Nail Studio
Name: Venue, dtype: object",51213e66e4b02c9c6811d0a2,2013-02-17T20:32:38.000Z,The $10 for a 10 minute back and neck massage is so worth it!!!
