Neighborhood,Postalcode,Neighborhood Latitude,Neighborhood Longitude,Venue,fsq_id,Venue Latitude,Venue Longitude,Venue Category,venue_name,rating,website,total_ratings,total_tips
"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",M5V,43.6289467,-79.3944199,Yeti Nails & Spa,4cc99fdd786e4688d2379509,43.647996,-79.396708,Nail Salon,Yeti Nails & Spa,9.2,http://www.yetinailsnspa.com,296.0,213.0
"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",M5V,43.6289467,-79.3944199,Pinky's Nails,4fe254576d86fad7b5763fc6,43.646036,-79.406679,Nail Salon,Pinky's Nails,8.1,http://www.pinkysnailsto.com,11.0,0.0
"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",M5V,43.6289467,-79.3944199,Sparks,4d5596f3cff7721e788eabf5,43.64171,-79.414449,Nail Salon,Sparks,8.1,http://www.sparkssalons.com,11.0,5.0
"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",M5V,43.6289467,-79.3944199,The Ten Spot,4aee01bef964a52034d121e3,43.646453,-79.40712,Nail Salon,The Ten Spot,7.7,http://www.the10spot.com,38.0,15.0
"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",M5V,43.6289467,-79.3944199,Polish'd Nail Bar,5077398de4b0eb9f2a41e7ec,43.64812,-79.383405,Nail Salon,Polish'd Nail Bar,6.1,http://polishdnailbar.com,10.0,3.0
Church and Wellesley,M4Y,43.6658599,-79.3831599,Yeti Nails & Spa,4cc99fdd786e4688d2379509,43.647996,-79.396708,Nail Salon,Yeti Nails & Spa,9.2,http://www.yetinailsnspa.com,296.0,213.0
Church and Wellesley,M4Y,43.6658599,-79.3831599,Mani Pedi Spa,4bca0140cc8cd13a00acbccf,43.682726,-79.391583,Nail Salon,Mani Pedi Spa,8.5,http://manipedispa.ca,22.0,8.0
Church and Wellesley,M4Y,43.6658599,-79.3831599,Bubble Bath Spa & Nails,512ce732e4b0aa0ac5f50f05,43.659368,-79.38543,Nail Salon,Bubble Bath Spa & Nails,7.6,http://www.scottmission.com,10.0,2.0
Church and Wellesley,M4Y,43.6658599,-79.3831599,Urban Nails,4ae4bc2ff964a520909d21e3,43.676453,-79.356485,Nail Salon,Urban Nails,8.3,http://www.urbannails.ca,38.0,17.0
Church and Wellesley,M4Y,43.6658599,-79.3831599,M Nails,4bb66377f562ef3b53143097,43.676176,-79.357984,Nail Salon,M Nails,7.6,http://www.mnails.ca,10.0,8.0
Church and Wellesley,M4Y,43.6658599,-79.3831599,Pantages Suites Hotel & Spa,4ae61cf6f964a520caa421e3,43.654554,-79.379053,Nail Salon,Pantages Suites Hotel & Spa,6.9,http://www.pantageshotel.com,53.0,17.0
Church and Wellesley,M4Y,43.6658599,-79.3831599,Polish'd Nail Bar,5077398de4b0eb9f2a41e7ec,43.64812,-79.383405,Nail Salon,Polish'd Nail Bar,6.1,http://polishdnailbar.com,10.0,3.0
"Brockton, Parkdale Village, Exhibition Place",M6K,43.6368472,-79.4281914,Sparks,4d5596f3cff7721e788eabf5,43.64171,-79.414449,Nail Salon,Sparks,8.1,http://www.sparkssalons.com,11.0,5.0
"Brockton, Parkdale Village, Exhibition Place",M6K,43.6368472,-79.4281914,Pinky's Nails,4fe254576d86fad7b5763fc6,43.646036,-79.406679,Nail Salon,Pinky's Nails,8.1,http://www.pinkysnailsto.com,11.0,0.0
"Brockton, Parkdale Village, Exhibition Place",M6K,43.6368472,-79.4281914,The Ten Spot,4aee01bef964a52034d121e3,43.646453,-79.40712,Nail Salon,The Ten Spot,7.7,http://www.the10spot.com,38.0,15.0
Willowdale South,M2N,43.7701199,-79.4084928,Lux Nail Bar,558dcb68498ed8eb8ddf1f4a,43.764519,-79.396204,Nail Salon,Lux Nail Bar,5.9,http://luxnailbar.ca,8.0,1.0
"Regent Park, Harbourfront",M5A,43.6542599,-79.3606359,Urban Nails,4ae4bc2ff964a520909d21e3,43.676453,-79.356485,Nail Salon,Urban Nails,8.3,http://www.urbannails.ca,38.0,17.0
"Regent Park, Harbourfront",M5A,43.6542599,-79.3606359,Bubble Bath Spa & Nails,512ce732e4b0aa0ac5f50f05,43.659368,-79.38543,Nail Salon,Bubble Bath Spa & Nails,7.6,http://www.scottmission.com,10.0,2.0
"Regent Park, Harbourfront",M5A,43.6542599,-79.3606359,M Nails,4bb66377f562ef3b53143097,43.676176,-79.357984,Nail Salon,M Nails,7.6,http://www.mnails.ca,10.0,8.0
"Regent Park, Harbourfront",M5A,43.6542599,-79.3606359,Star Nails,4afae339f964a520581922e3,43.668385,-79.340708,Nail Salon,Star Nails,7.3,http://www.starnails.ca,12.0,7.0
"Regent Park, Harbourfront",M5A,43.6542599,-79.3606359,Pantages Suites Hotel & Spa,4ae61cf6f964a520caa421e3,43.654554,-79.379053,Nail Salon,Pantages Suites Hotel & Spa,6.9,http://www.pantageshotel.com,53.0,17.0
"Regent Park, Harbourfront",M5A,43.6542599,-79.3606359,Polish'd Nail Bar,5077398de4b0eb9f2a41e7ec,43.64812,-79.383405,Nail Salon,Polish'd Nail Bar,6.1,http://polishdnailbar.com,10.0,3.0
