postal_code,Latitude,Longitude,Borough,Neighbourhood,total_population,average_income_women,average_age_women,women_20_39,population_score,target_demo_score,income_score,age_score,pct_target,pct_target_score,total_score,rank
M5V,43.6289467,-79.3944199,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",59912.0,69200.0,34.6,20290.0,0.7889118983752832,1.0,0.38003220611916266,1.0,0.3386633729469889,1.0,0.8337888208988893,1.0
M2N,43.7701199,-79.4084928,North York,Willowdale South,75100.0,51200.0,42.5,14445.0,1.0,0.7002564102564103,0.19887278582930756,0.4625850340136054,0.19234354194407458,0.4073481571706911,0.553812477454003,2.0
M4Y,43.6658599,-79.3831599,Downtown Toronto,Church and Wellesley,36319.0,51450.0,37.2,9960.0,0.46100818612666955,0.47025641025641024,0.2013888888888889,0.8231292517006801,0.2742366254577494,0.7390467828914057,0.538965903972811,3.0
M5A,43.6542599,-79.3606359,Downtown Toronto,"Regent Park, Harbourfront",48978.0,57900.0,39.6,10635.0,0.6369473669580686,0.5048717948717949,0.266304347826087,0.6598639455782311,0.21713830699497733,0.5077765345083097,0.5151527979484983,4.0
M6K,43.6368472,-79.4281914,West Toronto,"Brockton, Parkdale Village, Exhibition Place",42110.0,54100.0,39.7,10395.0,0.5414935164208976,0.49256410256410255,0.2280595813204509,0.6530612244897958,0.24685347898361434,0.6281344608286649,0.5086625771247824,5.0
M5G,43.6579524,-79.3873826,Downtown Toronto,Central Bay Street,9751.0,52450.0,35.0,3180.0,0.09175689010576643,0.12256410256410256,0.21145330112721417,0.9727891156462586,0.32612039790790687,0.9491961054047012,0.46955190296960864,6.0
M5B,43.6571618,-79.3789371,Downtown Toronto,"Garden District, Ryerson",17422.0,47920.0,36.1,5105.0,0.1983711136745841,0.22128205128205128,0.16586151368760063,0.8979591836734694,0.29302031913672366,0.8151279989349344,0.459720372250528,7.0
M5H,43.6505712,-79.3845675,Downtown Toronto,"Richmond, Adelaide, King",3248.0,64400.0,34.6,1055.0,0.0013759364011619018,0.01358974358974359,0.33172302737520126,1.0,0.3248152709359606,0.9439098369628329,0.45811970886578796,8.0
M2J,43.7785175,-79.3465557,North York,"Fairview, Henry Farm, Oriole",61761.0,43400.0,42.3,10455.0,0.8146099428777919,0.49564102564102563,0.12037037037037036,0.4761904761904763,0.16928158546655656,0.31393832398561766,0.4441500278130564,9.0
M5J,43.6408157,-79.3817523,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands",16879.0,68900.0,39.5,4680.0,0.19082431098942335,0.19948717948717948,0.37701288244766507,0.6666666666666667,0.2772676106404408,0.7513234438320174,0.4370628966845904,10.0
M6J,43.6479267,-79.4197497,West Toronto,"Little Portugal, Trinity",32111.0,62650.0,40.9,7320.0,0.40252393990354546,0.33487179487179486,0.31411030595813205,0.5714285714285715,0.22795926629503907,0.5516056000998002,0.43490804245236886,11.0
M6H,43.6690051,-79.4422593,West Toronto,"Dufferin, Dovercourt Village",43730.0,51700.0,41.5,8565.0,0.5640088393490014,0.39871794871794874,0.2039049919484702,0.5306122448979591,0.1958609650125772,0.4215950794728149,0.4237678208772389,12.0
M1B,43.8066863,-79.1943534,Scarborough,"Malvern, Rouge",65555.0,38360.0,41.9,9460.0,0.8673402732415116,0.44461538461538463,0.06964573268921095,0.5034013605442178,0.14430630768057356,0.2127788003340225,0.4195563102848695,13.0
M5E,43.6447708,-79.3733064,Downtown Toronto,Berczy Park,11779.0,77100.0,40.4,3265.0,0.11994273880835568,0.12692307692307692,0.45954106280193235,0.6054421768707483,0.2771882163171746,0.751001866150637,0.41257018431095005,14.0
M6P,43.6616083,-79.4647633,West Toronto,"High Park, The Junction South",39870.0,60600.0,41.5,7325.0,0.5103612180511737,0.3351282051282051,0.29347826086956524,0.5306122448979591,0.1837220968146476,0.3724279737014736,0.40840158052967535,15.0
M8V,43.6056466,-79.5013207,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores",44144.0,59200.0,43.0,8165.0,0.5697627552084057,0.3782051282051282,0.27938808373590984,0.4285714285714285,0.184962848858282,0.37745349881392065,0.4066761789069586,16.0
M5S,43.6626956,-79.4000493,Downtown Toronto,"University of Toronto, Harbord",17074.0,61150.0,40.6,4570.0,0.19353448874928772,0.19384615384615383,0.2990136876006441,0.5918367346938774,0.26765842801921047,0.7124025419315628,0.39812672136430516,17.0
