Postalcode,Latitude,Longitude,Borough,Neighbourhood
M1B,43.8066863,-79.1943534,Scarborough,"Malvern, Rouge"
M1C,43.7845351,-79.1604971,Scarborough,"Rouge Hill, Port Union, Highland Creek"
M1E,43.7635726,-79.1887115,Scarborough,"Guildwood, Morningside, West Hill"
M1G,43.7709921,-79.2169174,Scarborough,Woburn
M1H,43.773136,-79.2394761,Scarborough,Cedarbrae
M1J,43.7447342,-79.2394761,Scarborough,Scarborough Village
M1K,43.7279292,-79.2620294,Scarborough,"Kennedy Park, Ionview, East Birchmount Park"
M1L,43.7111117,-79.2845772,Scarborough,"Golden Mile, Clairlea, Oakridge"
M1M,43.716316,-79.2394761,Scarborough,"Cliffside, Cliffcrest, Scarborough Village West"
M1N,43.692657,-79.2648481,Scarborough,"Birch Cliff, Cliffside West"
M1P,43.7574096,-79.273304,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre"
M1R,43.7500715,-79.2958491,Scarborough,"Wexford, Maryvale"
M1S,43.7942003,-79.2620294,Scarborough,Agincourt
M1T,43.7816375,-79.3043021,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan"
M1V,43.8152522,-79.2845772,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East"
M1W,43.7995252,-79.3183887,Scarborough,"Steeles West, L'Amoreaux West"
M1X,43.8361247,-79.2056361,Scarborough,Upper Rouge
M2H,43.8037622,-79.3634517,North York,Hillcrest Village
M2J,43.7785175,-79.3465557,North York,"Fairview, Henry Farm, Oriole"
M2K,43.7869473,-79.385975,North York,Bayview Village
M2L,43.7574902,-79.3747141,North York,"York Mills, Silver Hills"
M2M,43.789053,-79.4084928,North York,"Willowdale, Newtonbrook"
M2N,43.7701199,-79.4084928,North York,Willowdale South
M2P,43.7527583,-79.4000493,North York,York Mills West
M2R,43.7827364,-79.4422593,North York,Willowdale West
M3A,43.7532586,-79.3296565,North York,Parkwoods
M3B,43.7459058,-79.352188,North York,Don Mills North
M3C,43.7258997,-79.340923,North York,Don Mills South 
M3H,43.7543283,-79.4422593,North York,"Bathurst Manor, Wilson Heights, Downsview North"
M3J,43.7679803,-79.4872619,North York,"Northwood Park, York University"
M3K,43.7374732,-79.4647633,North York,Downsview East 
M3L,43.7390146,-79.5069436,North York,Downsview West
M3M,43.7284964,-79.4956974,North York,Downsview Central
M3N,43.7616313,-79.5209994,North York,Downsview Northwest
M4A,43.7258823,-79.3155716,North York,Victoria Village
M4B,43.7063972,-79.309937,East York,"Parkview Hill, Woodbine Gardens"
M4C,43.6953439,-79.3183887,East York,Woodbine Heights
M4E,43.6763574,-79.2930312,East Toronto,The Beaches
M4G,43.7090604,-79.3634517,East York,Leaside
M4H,43.7053689,-79.3493719,East York,Thorncliffe Park
M4J,43.685347,-79.3381065,East York East Toronto,The Danforth East
M4K,43.6795571,-79.352188,East Toronto,"The Danforth West, Riverdale"
M4L,43.6689985,-79.3155716,East Toronto,"India Bazaar, The Beaches West"
M4M,43.6595255,-79.340923,East Toronto,Studio District
M4N,43.7280205,-79.3887901,Central Toronto,Lawrence Park
M4P,43.7127511,-79.3901975,Central Toronto,Davisville North
M4R,43.7153834,-79.4056784,Central Toronto,North Toronto West
M4S,43.7043244,-79.3887901,Central Toronto,Davisville
M4T,43.6895743,-79.3831599,Central Toronto,"Moore Park, Summerhill East"
M4V,43.6864123,-79.4000493,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park"
M4W,43.6795626,-79.3775294,Downtown Toronto,Rosedale
M4X,43.667967,-79.3676753,Downtown Toronto,"St. James Town, Cabbagetown"
M4Y,43.6658599,-79.3831599,Downtown Toronto,Church and Wellesley
M5A,43.6542599,-79.3606359,Downtown Toronto,"Regent Park, Harbourfront"
M5B,43.6571618,-79.3789371,Downtown Toronto,"Garden District, Ryerson"
M5C,43.6514939,-79.3754179,Downtown Toronto,St. James Town
M5E,43.6447708,-79.3733064,Downtown Toronto,Berczy Park
M5G,43.6579524,-79.3873826,Downtown Toronto,Central Bay Street
M5H,43.6505712,-79.3845675,Downtown Toronto,"Richmond, Adelaide, King"
M5J,43.6408157,-79.3817523,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands"
M5K,43.6471768,-79.3815764,Downtown Toronto,"Toronto Dominion Centre, Design Exchange"
M5L,43.6481985,-79.3798169,Downtown Toronto,"Commerce Court, Victoria Hotel"
M5M,43.7332825,-79.4197497,North York,"Bedford Park, Lawrence Manor East"
M5N,43.7116948,-79.4169356,Central Toronto,Roselawn
M5P,43.6969476,-79.4113072,Central Toronto,Forest Hill North & West
M5R,43.6727097,-79.4056784,Central Toronto,"The Annex, North Midtown, Yorkville"
M5S,43.6626956,-79.4000493,Downtown Toronto,"University of Toronto, Harbord"
M5T,43.6532057,-79.4000493,Downtown Toronto,"Kensington Market, Chinatown, Grange Park"
M5V,43.6289467,-79.3944199,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport"
M5W,43.6464352,-79.374846,Downtown Toronto Stn A PO Boxes 25 The Esplanade,Enclave of M5E
M5X,43.6484292,-79.3822802,Downtown Toronto,"First Canadian Place, Underground city"
M6A,43.718518,-79.4647633,North York,"Lawrence Manor, Lawrence Heights"
M6B,43.709577,-79.4450726,North York,Glencairn
M6C,43.6937813,-79.4281914,York,Humewood-Cedarvale
M6E,43.6890256,-79.453512,York,Caledonia-Fairbanks
M6G,43.669542,-79.4225637,Downtown Toronto,Christie
M6H,43.6690051,-79.4422593,West Toronto,"Dufferin, Dovercourt Village"
M6J,43.6479267,-79.4197497,West Toronto,"Little Portugal, Trinity"
M6K,43.6368472,-79.4281914,West Toronto,"Brockton, Parkdale Village, Exhibition Place"
M6L,43.7137562,-79.4900738,North York,"North Park, Maple Leaf Park, Upwood Park"
M6M,43.6911158,-79.4760133,York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn"
M6N,43.6731853,-79.4872619,York,"Runnymede, The Junction North"
M6P,43.6616083,-79.4647633,West Toronto,"High Park, The Junction South"
M6R,43.6489597,-79.456325,West Toronto,"Parkdale, Roncesvalles"
M6S,43.6515706,-79.4844499,West Toronto,"Runnymede, Swansea"
M7A,43.6623015,-79.3894938,Queen's Park,Ontario Provincial Government
M7R,43.6369656,-79.615819,Mississauga Canada Post Gateway Processing Centre,Enclave of L4W
M7Y,43.6627439,-79.321558,East Toronto Business reply mail Processing Centre 969 Eastern,Enclave of M4L
M8V,43.6056466,-79.5013207,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores"
M8W,43.6024137,-79.5434841,Etobicoke,"Alderwood, Long Branch"
M8X,43.6536536,-79.5069436,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North"
M8Y,43.6362579,-79.4985091,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East"
M8Z,43.6288408,-79.5209994,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West"
M9A,43.6678556,-79.5322424,Etobicoke,Islington Avenue
M9B,43.6509432,-79.5547244,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale"
M9C,43.6435152,-79.5772008,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood"
M9L,43.7563033,-79.5659633,North York,Humber Summit
M9M,43.7247659,-79.5322424,North York,"Humberlea, Emery"
M9N,43.706876,-79.5181884,York,Weston
M9P,43.696319,-79.5322424,Etobicoke,Westmount
M9R,43.6889054,-79.5547244,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens"
M9V,43.7394164,-79.5884369,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens"
M9W,43.7067483,-79.5940544,Etobicoke Northwest,"Clairville, Humberwood, Woodbine Downs, West Humber, Kipling Heights, Rexdale, Elms, Tandridge, Old Rexdale"
